Seecod;Cousig;Grccod;Counbrcdt;Locnbrpla;Pernum;Loccod;Grccodtypgrpcou;Coufrqlab;Grccodprt;Remcodtypcou;Couabgitt;Grcnbrpladis;Perjousem;Perhredeb
ES;ELE6953A;01;3,00;32;48;A-252;L;B;I;TL;C.SPEC.CONC. FOND. PHOTON.AV.;10;JEU;1545
ES;ELE8901;01;3,00;19;3C0;D-3070;C;A;;T;TECHNOLOGIE DE L'INFORMATION;19;MER;1900
ES;ELE8901;01;3,00;19;3D0;D-3070;C;A;;T;TECHNOLOGIE DE L'INFORMATION;19;MER;2000
ES;ELE8901;01;3,00;19;3E0;D-3070;C;A;;T;TECHNOLOGIE DE L'INFORMATION;19;MER;2100
ES;ENE6002;01;3,00;15;15;B-413;C;A;;T;THERMOHYD. SYST. DIPHASIQUES;15;LUN;1245
ES;ENE6002;01;3,00;15;16;B-413;C;A;;T;THERMOHYD. SYST. DIPHASIQUES;15;LUN;1345
ES;ENE6002;01;3,00;15;17;B-413;C;A;;T;THERMOHYD. SYST. DIPHASIQUES;15;LUN;1445
ES;ENE6101;01;3,00;55;51;A-526;C;A;;T;PHYSIQ. STATIQUE DES REACTEURS;15;VEN;0830
ES;ENE6101;01;3,00;55;52;A-526;C;A;;T;PHYSIQ. STATIQUE DES REACTEURS;15;VEN;0930
ES;ENE6101;01;3,00;55;53;A-526;C;A;;T;PHYSIQ. STATIQUE DES REACTEURS;15;VEN;1030
ES;ENE6102;01;3,00;15;31;B-527;C;A;;T;CINETIQUE REACT. NUCLEAIRES;15;MER;0830
ES;ENE6102;01;3,00;15;32;B-527;C;A;;T;CINETIQUE REACT. NUCLEAIRES;15;MER;0930
ES;ENE6102;01;3,00;15;33;B-527;C;A;;T;CINETIQUE REACT. NUCLEAIRES;15;MER;1030
ES;ENE6901;01;6,00;200;5A;DEPART.;C;A;;T;PROJET MAITRISE I;10;VEN;1745
ES;ENE6902;01;9,00;200;5A;DEPART.;C;A;;T;PROJET MAITRISE II;10;VEN;1745
ES;ENE6903;01;1,200;200;5A;DEPART.;C;A;;T;PROJET MAITRISE III;10;VEN;1745
ES;ENE6905;01;2,00;200;5A;DEPART.;C;A;;T;STAGE INDUSTRIEL;10;VEN;1745
ES;ENE6906;01;1,00;60;5A;DEPT8.1;C;A;;T;SEMINAIRES;15;VEN;1745
ES;ENE6907;01;3,00;200;5A;DEPART.;C;A;;T;STAGE EN LABORATOIRE;10;VEN;1745
ES;ENE6908;01;6,00;200;5A;DEPART.;C;A;;T;STAGE EN LABORATOIRE II;10;VEN;1745
